Lags,ALL,,,,,,,WARM,,,,,,,COLD,,,,,,
Day,AirPoll,Beta,SE,Pvalue,RR,Low95%RR,Uper95%RR,AirPoll,Beta,SE,Pvalue,RR,Low95%RR,Uper95%RR,AirPoll,Beta,SE,Pvalue,RR,LowRR,UperRR
0,AQHI,0.002916591,0.004609096,0.526914406,1.002920848,0.993901435,1.012022111,AQHI,-0.001614242,0.004329917,0.709312924,0.99838706,0.989949963,1.006896064,AQHI,0.008744513,0.004984179,0.079445575,1.008782858,0.998976047,1.018685941
1,AQHI,-0.000363432,0.004613366,0.937213876,0.999636634,0.990638464,1.008716535,AQHI,0.001224644,0.004322236,0.776937312,1.001225394,0.992779257,1.009743387,AQHI,-0.003574648,0.005015395,0.476060155,0.996431733,0.986684622,1.006275133
2,AQHI,0.001832469,0.004627147,0.692111734,1.001834149,0.992789383,1.010961317,AQHI,-0.000773115,0.004319687,0.857968456,0.999227183,0.990802853,1.007723142,AQHI,0.004233076,0.005050446,0.402002206,1.004242048,0.994350222,1.014232278
3,AQHI,-0.002104751,0.004629918,0.649428489,0.997897462,0.988882867,1.006994234,AQHI,-0.000942876,0.004330333,0.827647073,0.999057568,0.990613997,1.007573109,AQHI,-0.005194426,0.005050808,0.303820884,0.994819042,0.985019334,1.004716244
4,AQHI,0.002094531,0.004618417,0.65020626,1.002096726,0.993066582,1.011208983,AQHI,0.00055492,0.00431294,0.897631357,1.000555074,0.99213267,1.009048978,AQHI,0.00326021,0.005038136,0.517608257,1.00326553,0.993407291,1.013221599
5,AQHI,0.004546831,0.004619888,0.325096129,1.004557184,0.995501997,1.013694737,AQHI,0.002231859,0.004314719,0.605005078,1.002234351,0.993794345,1.010746037,AQHI,0.007117254,0.005034423,0.157539256,1.007142642,0.997253563,1.017129784
6,AQHI,0.000490889,0.004610872,0.915221271,1.000491009,0.991489996,1.009573736,AQHI,0.003548498,0.004314898,0.410918645,1.003554801,0.995103326,1.012078056,AQHI,-0.003748579,0.005016497,0.454965832,0.996258438,0.986510891,1.006102299
7,AQHI,-0.000785845,0.004610896,0.864680738,0.999214464,0.990224888,1.008285649,AQHI,0.004395129,0.0043288,0.310026731,1.004404802,0.995919031,1.012962876,AQHI,-0.008094665,0.004979604,0.104138197,0.991938009,0.982303762,1.001666746
8,AQHI,-0.000764681,0.00461085,0.868290101,0.999235612,0.990245937,1.008306897,AQHI,0.010224543,0.004340798,0.018558547,1.010276992,1.001718053,1.018909061,AQHI,-0.015178774,0.004950479,0.002186162,0.984935843,0.975425285,0.99453913
9,AQHI,0.000710963,0.004638617,0.878194374,1.000711216,0.991654294,1.009850856,AQHI,0.016367535,0.004391108,0.0001967,1.016502217,1.007791158,1.025288572,AQHI,-0.019158369,0.00493726,0.000106345,0.981023986,0.971576374,0.990563466
10,AQHI,0.003104161,0.004660379,0.505410086,1.003108984,0.993987963,1.012313701,AQHI,0.014403509,0.00443044,0.001161464,1.014507739,1.005736236,1.023355743,AQHI,-0.011367942,0.004949734,0.021699749,0.988696429,0.979150989,0.998334924
11,AQHI,0.004778877,0.004652774,0.304447654,1.004790314,0.995668847,1.013995345,AQHI,0.008281884,0.004413032,0.060649428,1.008316274,0.999632409,1.017075576,AQHI,-0.000604633,0.004959111,0.902966875,0.99939555,0.989728625,1.009156894
12,AQHI,0.011847215,0.004655029,0.010972006,1.011917671,1.00272707,1.02119251,AQHI,0.014423041,0.004416354,0.001102659,1.014527555,1.005783648,1.023347478,AQHI,0.007471946,0.004954991,0.131659918,1.007499931,0.99776267,1.017332218
13,AQHI,0.010100502,0.004653639,0.030044001,1.010151684,1.000979849,1.019407559,AQHI,0.009938157,0.004422715,0.024701591,1.009987704,1.001270442,1.018780861,AQHI,0.011373003,0.004949204,0.021627417,1.011437921,1.001673963,1.021297056
14,AQHI,0.001439206,0.004662304,0.757577107,1.001440242,0.992330651,1.010633459,AQHI,-0.003258824,0.004430815,0.462093076,0.99674648,0.988127816,1.005440318,AQHI,0.007619689,0.004945095,0.123447689,1.007648793,0.997929449,1.017462798
